idelem,descripcion,accesoAsociado,intensidad,ocupacion,carga,nivelServicio,intensidadSat,error,subarea,st_x,st_y,velocidad
5071,PORTALEGRE S-N(AV. ABRANTES-OPORTO),500403,0,0,0,0,1500,N,1722,"438568,23662704","4470708,55654742",
5075,PORTALEGRE N-S(VALLE ORO-OPORTO),500401,38,0,3,0,1500,N,1722,"438598,092626118","4470882,08371842",
5076,PORTALEGRE S-N(OPORTO-VALLE ORO),500803,38,0,3,0,1500,N,1722,"438602,578403025","4470885,08265063",
3655,PORTALEGRE N-S(ALEJANDRO SANCHEZ-VALLE ORO),500801,38,0,3,0,1500,N,1722,"438596,310911866","4471037,8192244",
5077,(AFOROS) VALLE ORO E-O (ARGÜESO-CNO. VIEJO DE LEGANÉS),501202,455,2,17,0,3000,N,1722,"438403,121560441","4470996,3788605",
5078,VIA E-O(MERCEDES DOMINGO-PORTALEGRE),500802,493,2,18,0,3000,N,1722,"438690,638686885","4470945,79785989",
5079,AV. ABRANTES O-E(PORTALEGRE-BRAGANZA),500503,38,0,2,0,1700,N,1722,"438667,452019234","4470689,63815462",
5083,BRAGANZA N-S(OPORTO-VIA LUSITANA),501504,96,1,4,0,3000,N,1740,"438762,322318494","4470717,70040238",
5084,Pº STA. Mª CABEZA S-N (LATERAL),501603,622,2,21,0,3200,N,1720,"439059,787957688","4470589,37643101",
5085,ANTONIO LEYVA N-S(S. LUCRECIA-PL. ELIPTICA),501605,196,1,7,0,3100,N,1720,"439133,163384024","4470910,55489707",
3742,Pº STA. Mª CABEZA N-S (LATERAL),501601,491,3,18,0,3200,N,1720,"439181,316083485","4470885,95372686",
5087,ANTONIO LEYVA S-N(ALEJANDRO SANCHEZ-STA. LUCRECIA),500901,1592,47,103,,1500,N,1739,"439165,903949294","4471035,40481882",
5088,ARLANZA E-O,500902,114,1,5,0,2800,N,1739,"439202,946046069","4470941,89986065",
5089,MERCEDES DOMINGO N-S,500501,38,3,5,0,1500,N,1722,"438734,412894002","4470781,4037463",
5090,(AFOROS)VIA LUSITANA E-O(VIANA-PL. ELIPTICA),501604,164,0,4,0,4800,N,1720,"438953,355594049","4470666,58490338",
5091,(AFOROS) VIA LUSITANA E-O,501501,288,3,12,0,3000,N,1740,"438911,982885016","4470655,50294327",
10576,(CARRIL BUS) OPORTO O-E (CNO. VIEJO LEGANES - FCO. ICAZA),0,0,0,0,0,1400,N,1722,"438285,192078578","4470854,14540314",
