newSegmentId,speedLimit,distance
-00004855-3100-0400-0000-00000001d7cb,50,50.87
-00004855-3100-0400-0000-00000001d7d0,60,14.37
-00004855-3100-0400-0000-00000001d7d2,60,4.06
-00004855-3100-0400-0000-00000001d7d3,60,13.32
-00004855-3100-0400-0000-00000001d7d7,50,14.23
-00004855-3100-0400-0000-00000001d7d8,50,3.9
-00004855-3100-0400-0000-00000001d7d9,50,7.57
-00004855-3100-0400-0000-00000001d7da,50,3.62
-00004855-3100-0400-0000-00000001d7dc,50,4.38
-00004855-3100-0400-0000-00000001d7dd,50,9.37
-00004855-3100-0400-0000-00000001d7de,50,3.96
-00004855-3100-0400-0000-00000001d7e4,50,5.38
-00004855-3100-0400-0000-00000001d7e5,50,10.24
-00004855-3100-0400-0000-00000001d7e6,50,7.49
-00004855-3100-0400-0000-00000001d7e7,60,5.04
-00004855-3100-0400-0000-00000001d7e9,60,7.94
-00004855-3100-0400-0000-00000001d7ec,60,15.99
-00004855-3100-0400-0000-00000001d8c5,50,135.35
-00004855-3100-0400-0000-00000001d8c7,50,25.9
-00004855-3100-0400-0000-00000001d8c8,50,15.26
-00004855-3100-0400-0000-00000001d8ca,50,64.75
-00004855-3100-0400-0000-00000001d8cc,50,178.83
-00004855-3100-0400-0000-00000001db5c,50,68.88
-00004855-3100-0400-0000-00000001db5d,50,46.59
-00004855-3100-0400-0000-00000001db67,50,17.89
-00004855-3100-0400-0000-00000001db7a,50,6.77
-00004855-3100-0400-0000-00000001db88,50,62.23
-00004855-3100-0400-0000-00000001db89,50,186.22
-00004855-3100-0400-0000-00000001dba6,50,57.34
-00004855-3100-0400-0000-00000001dba7,50,161.1
-00004855-3100-0400-0000-00000001dbaa,50,18.4
-00004855-3100-0400-0000-00000001dbac,50,33.97
-00004855-3100-0400-0000-00000001dbbd,50,11.02
-00004855-3100-0400-0000-00000001dbca,50,22.84
-00004855-3100-0400-0000-00000001dbd2,50,23.89
-00004855-3100-0400-0000-00000001dbd4,50,5.25
-00004855-3100-0400-0000-00000001dbdc,70,39.55
-00004855-3100-0400-0000-00000001dbde,70,136.8
-00004855-3100-0400-0000-00000001dbee,50,105.89
-00004855-3100-0400-0000-00000001dbf0,50,65.04
-00004855-3100-0400-0000-00000001dbf1,50,94.17
-00004855-3100-0400-0000-00000001dbfb,50,71.65
-00004855-3100-0400-0000-00000001dbfc,50,132.65
-00004855-3100-0400-0000-00000001dc0c,50,13.92
-00004855-3100-0400-0000-00000001dc18,50,30.47
-00004855-3100-0400-0000-00000001dc19,50,15.21
-00004855-3100-0400-0000-00000001dc23,50,66.51
-00004855-3100-0400-0000-00000001dc24,50,29.95
-00004855-3100-0400-0000-00000001dc27,50,106.08
-00004855-3100-0400-0000-00000001dc28,50,28.75
-00004855-3100-0400-0000-00000001df5d,70,196.0
-00004855-3100-0400-0000-00000001df7e,50,177.44
-00004855-3100-0400-0000-00000001df8d,50,141.8
-00004855-3100-0400-0000-00000001df8e,50,18.17
-00004855-3100-0400-0000-00000001e1af,100,10.67
-00004855-3100-0400-0000-00000001e310,50,13.02
-00004855-3100-0400-0000-00000001e31d,50,60.64
-00004855-3100-0400-0000-00000001e31f,50,72.68
-00004855-3100-0400-0000-00000001e320,50,52.92
-00004855-3100-0400-0000-00000001e321,50,40.17
-00004855-3100-0400-0000-00000001e322,50,28.85
-00004855-3100-0400-0000-00000001e328,50,129.74
-00004855-3100-0400-0000-00000001e32d,50,43.01
-00004855-3100-0400-0000-00000001e32e,50,16.21
-00004855-3100-0400-0000-00000001e331,50,34.03
-00004855-3100-0400-0000-00000001e332,50,20.15
-00004855-3100-0400-0000-00000001e337,70,87.5
-00004855-3100-0400-0000-00000001e33f,70,150.98
-00004855-3100-0400-0000-00000001e341,50,37.61
-00004855-3100-0400-0000-00000001e344,50,15.66
-00004855-3100-0400-0000-00000001e44a,70,13.58
